BurstID,ObsDate,MJD,DM,Width,PeakFlux,Fluence,Energy_c,Energy_w,BandWidth,Width,PeakFlux,Fluence,Energy_w
 , ,Barycentric, ,FullBand,FullBand,FullBand,FullBand,FullBand, ,LimitedBand,LimitedBand,LimitedBand,LimitedBand
 , , ,(pc/cm^3),(ms),(mJy),(Jy ms),(1e37erg),(1e37erg),(MHz),(ms),(mJy),(Jy ms),(1e37erg)
72,20210927,59483.87986,412.18,8.89,212.05,1.886,52.79,21.12,500,6.56,212.18,1.393,17.12
73,20210927,59483.88023,412.18,5.47,93.26,0.51,14.28,5.71,200,4.92,219.97,1.082,5.32
74,20210927,59483.88047,412.18,6.46,10.38,0.067,1.875,0.7501,200,4.84,26.54,0.128,0.6315
75,20210927,59483.88081,412.18,2.29,8.73,0.02,0.5598,0.2239,100,2.61,21.61,0.056,0.1388
76,20210927,59483.88112,412.18,5.97,16.93,0.101,2.827,1.131,150,4.84,47.96,0.232,0.8565
77,20210927,59483.88363,412.18,8.38,108.88,0.912,25.53,10.21,250,6.97,256.06,1.784,10.97
78,20210927,59483.88384,412.18,6.73,176.73,1.19,33.31,13.32,350,5.23,298.8,1.564,13.46
79,20210927,59483.88484,412.18,4.92,85.71,0.422,11.81,4.725,300,4.15,164.33,0.682,5.032
80,20210927,59483.88571,412.18,5.45,18.34,0.1,2.799,1.12,100,4.54,72.58,0.33,0.8106
81,20210927,59483.88745,412.18,6.46,57.28,0.37,10.36,4.142,150,6.02,151.31,0.911,3.359
82,20210927,59483.88766,412.18,4.22,11.86,0.05,1.4,0.5598,100,5.83,30.29,0.177,0.4344
83,20210927,59483.89123,412.18,2.12,11.8,0.025,0.6998,0.2799,100,4.05,25.64,0.104,0.2553
84,20210927,59483.8917,412.18,4.32,9.49,0.041,1.148,0.459,100,4.82,29.64,0.143,0.3516
85,20210927,59483.89222,412.18,10.89,78.68,0.857,23.99,9.595,300,7.94,189.69,1.507,11.11
86,20210927,59483.89281,412.18,5.79,80.98,0.469,13.13,5.251,400,4.83,114.35,0.553,5.435
87,20210927,59483.89281,412.18,4.86,8.64,0.042,1.176,0.4702,100,4.75,22.42,0.107,0.262
