BurstID,ObsDate,MJD,DM,Width,PeakFlux,Fluence,Energy_c,Energy_w,BandWidth,Width,PeakFlux,Fluence,Energy_w
 , ,Barycentric, ,FullBand,FullBand,FullBand,FullBand,FullBand, ,LimitedBand,LimitedBand,LimitedBand,LimitedBand
 , , ,(pc/cm^3),(ms),(mJy),(Jy ms),(1e37erg),(1e37erg),(MHz),(ms),(mJy),(Jy ms),(1e37erg)
465,20210929,59485.7941,412.55,4.17,9.59,0.04,1.12,0.4478,100,4.36,39.29,0.171,0.421
466,20210929,59485.79453,412.55,3.22,350.5,1.129,31.6,12.64,350,2.49,736.62,1.833,15.77
467,20210929,59485.79462,412.55,6.26,19.64,0.123,3.443,1.377,250,6.33,38.13,0.241,1.483
468,20210929,59485.79466,412.55,4.76,76.2,0.363,10.16,4.064,300,4.13,122.34,0.505,3.728
469,20210929,59485.79471,412.55,4.93,26.15,0.129,3.611,1.444,200,4.62,64.21,0.297,1.46
470,20210929,59485.79479,412.55,11.99,105.2,1.261,35.3,14.12,500,5.68,202.89,1.152,14.16
471,20210929,59485.79479,412.55,2.78,28.82,0.08,2.239,0.8957,450,2.46,31.08,0.077,0.8464
472,20210929,59485.79479,412.55,3.13,113.76,0.356,9.964,3.986,250,2.8,266.22,0.745,4.577
473,20210929,59485.79497,412.55,8.96,165.02,1.479,41.4,16.56,250,8.11,399.81,3.244,19.94
474,20210929,59485.79499,412.55,2.8,22.14,0.062,1.735,0.6942,200,2.68,42.87,0.115,0.5643
475,20210929,59485.79532,412.55,2.53,39.52,0.1,2.799,1.12,200,2.22,125.11,0.278,1.366
476,20210929,59485.79532,412.55,14.35,156.62,2.248,62.92,25.17,250,13.17,422.79,5.569,34.23
477,20210929,59485.79538,412.55,7.51,88.72,0.666,18.64,7.457,350,6.57,155.29,1.02,8.78
478,20210929,59485.79538,412.55,10.44,239.67,2.502,70.03,28.01,350,9.34,431.1,4.025,34.63
479,20210929,59485.79542,412.55,6.18,151.65,0.937,26.23,10.49,400,5.58,178.84,0.997,9.808
480,20210929,59485.79544,412.55,2.85,22.49,0.064,1.791,0.7166,150,2.66,61.57,0.164,0.6046
481,20210929,59485.79549,412.55,8,20.25,0.162,4.534,1.814,200,7.52,51.84,0.39,1.918
482,20210929,59485.79549,412.55,6.8,107.53,0.731,20.46,8.184,200,6.4,261.58,1.675,8.236
483,20210929,59485.79564,412.55,3.86,14,0.054,1.511,0.6046,300,2.91,22.54,0.066,0.4837
484,20210929,59485.79566,412.55,4.68,542.62,2.539,71.07,28.43,400,4.46,638.3,2.845,27.98
485,20210929,59485.79571,412.55,3.06,26.45,0.081,2.267,0.9069,300,2.61,40.42,0.106,0.7792
486,20210929,59485.79581,412.55,7.54,68.01,0.513,14.36,5.744,450,6.84,69.86,0.478,5.29
487,20210929,59485.79585,412.55,4.47,44.93,0.201,5.626,2.25,250,4.17,100.58,0.419,2.575
488,20210929,59485.79587,412.55,5.24,64.56,0.338,9.461,3.784,350,4.96,76.95,0.382,3.286
489,20210929,59485.79589,412.55,2.65,79.65,0.211,5.906,2.362,450,2.36,87.37,0.206,2.277
490,20210929,59485.79604,412.55,7.81,69.24,0.541,15.14,6.057,300,6.55,143.87,0.943,6.953
491,20210929,59485.7962,412.55,2.19,32.87,0.072,2.015,0.8061,400,2.43,38.67,0.094,0.9226
492,20210929,59485.7962,412.55,11.59,333.39,3.863,108.1,43.25,450,10.67,369.44,3.942,43.61
493,20210929,59485.79628,412.55,9.4,162.16,1.525,42.68,17.07,400,6.13,239.13,1.465,14.41
494,20210929,59485.79672,412.55,3.72,171.24,0.637,17.83,7.132,400,3.49,208.89,0.729,7.166
495,20210929,59485.79672,412.55,3.03,10.55,0.032,0.8957,0.3583,100,2.39,35.46,0.085,0.2082
496,20210929,59485.79672,412.55,4.21,11.89,0.05,1.4,0.5598,250,2.69,22.32,0.06,0.3695
497,20210929,59485.79678,412.55,4.48,13.85,0.062,1.735,0.6942,300,4.17,19.21,0.08,0.5912
498,20210929,59485.79701,412.55,8.73,33.79,0.295,8.257,3.303,200,6.79,77.78,0.528,2.598
499,20210929,59485.79717,412.55,6.13,170.04,1.043,29.19,11.68,350,5.2,253.08,1.315,11.31
500,20210929,59485.79717,412.55,3.95,947.89,3.74,104.7,41.87,500,3.84,948.06,3.643,44.78
501,20210929,59485.79717,412.55,13.33,53.17,0.709,19.84,7.938,250,7.08,134.17,0.949,5.835
502,20210929,59485.79718,412.55,12,72.82,0.874,24.46,9.785,200,10.99,180.06,1.979,9.732
503,20210929,59485.79723,412.55,5.22,91.02,0.475,13.3,5.318,450,4.66,96.37,0.449,4.968
504,20210929,59485.79723,412.55,4.24,22.88,0.097,2.715,1.086,200,3.85,52.56,0.202,0.9942
505,20210929,59485.79739,412.55,3.64,17.59,0.064,1.791,0.7166,200,3.48,36.36,0.127,0.6225
506,20210929,59485.79752,412.55,6.62,151.1,1.001,28.02,11.21,350,5.07,313.89,1.591,13.69
507,20210929,59485.79769,412.55,2.59,120.98,0.313,8.761,3.504,350,2.1,183.04,0.385,3.315
508,20210929,59485.79769,412.55,9.81,76.46,0.75,20.99,8.397,400,9.17,99.13,0.909,8.939
509,20210929,59485.79778,412.55,8.19,26.99,0.221,6.186,2.474,200,6.19,72.3,0.447,2.199
510,20210929,59485.79782,412.55,3.97,25.18,0.1,2.799,1.12,350,4,28.46,0.114,0.9797
511,20210929,59485.79796,412.55,3.56,15.44,0.055,1.539,0.6158,200,3.52,25.07,0.088,0.4344
512,20210929,59485.79799,412.55,4.44,264.23,1.173,32.83,13.13,300,3.95,443.43,1.752,12.92
513,20210929,59485.7981,412.55,5.85,12.31,0.072,2.015,0.8061,100,6.42,37.17,0.239,0.5867
514,20210929,59485.79818,412.55,3.46,24.28,0.084,2.351,0.9405,150,3.35,38.85,0.13,0.4803
515,20210929,59485.79831,412.55,4.38,13.69,0.06,1.679,0.6718,300,3.9,20.09,0.078,0.5777
516,20210929,59485.79836,412.55,2.13,13.16,0.028,0.7837,0.3135,100,3.64,43.51,0.158,0.3896
517,20210929,59485.79836,412.55,4.29,13.99,0.06,1.679,0.6718,200,2.25,44.84,0.101,0.4971
518,20210929,59485.79836,412.55,6.48,79.91,0.518,14.5,5.8,200,5.95,203.83,1.212,5.961
519,20210929,59485.79845,412.55,7.39,44.22,0.327,9.153,3.661,300,7.19,73.5,0.528,3.896
520,20210929,59485.7985,412.55,1.51,9.26,0.014,0.3919,0.1567,50,1.4,29.93,0.042,0.0515
521,20210929,59485.7985,412.55,2.07,10.64,0.022,0.6158,0.2463,50,2.79,43.11,0.12,0.1478
522,20210929,59485.79872,412.55,9.04,144.65,1.308,36.61,14.64,200,8.23,373.14,3.072,15.1
523,20210929,59485.79888,412.55,2.53,14.25,0.036,1.008,0.4031,200,2.91,25.66,0.075,0.3672
524,20210929,59485.79909,412.55,4.95,385.62,1.909,53.43,21.37,500,4.55,385.62,1.756,21.59
525,20210929,59485.79913,412.55,3.97,20.89,0.083,2.323,0.9293,200,4.04,52.1,0.21,1.034
526,20210929,59485.79939,412.55,5.31,135.89,0.721,20.18,8.072,300,4.46,222.1,0.99,7.3
527,20210929,59485.79939,412.55,4.2,57.12,0.24,6.718,2.687,200,3.84,135.79,0.521,2.562
528,20210929,59485.79946,412.55,5.44,10.67,0.058,1.623,0.6494,200,4.65,25.44,0.118,0.5822
529,20210929,59485.7995,412.55,2.25,26.23,0.059,1.651,0.6606,200,1.69,58.82,0.099,0.4882
530,20210929,59485.79958,412.55,3.29,13.67,0.045,1.26,0.5038,200,4.1,24.86,0.102,0.5016
531,20210929,59485.7997,412.55,4.08,115.2,0.47,13.16,5.262,350,3.9,164.2,0.641,5.517
532,20210929,59485.79989,412.55,2.46,31.69,0.078,2.183,0.8733,200,2.82,68.56,0.193,0.9494
533,20210929,59485.79998,412.55,3.7,27.3,0.101,2.827,1.131,300,2.79,44.78,0.125,0.9203
534,20210929,59485.80009,412.55,4.94,28.13,0.139,3.891,1.556,350,4.98,42.06,0.209,1.802
535,20210929,59485.80027,412.55,4.83,62.3,0.301,8.425,3.37,250,4.39,131.97,0.58,3.564
536,20210929,59485.8003,412.55,12.72,214.34,2.727,76.33,30.53,450,8.63,326.13,2.815,31.14
537,20210929,59485.80036,412.55,6.19,207.61,1.285,35.97,14.39,300,5.69,442.43,2.518,18.57
538,20210929,59485.80048,412.55,2.56,39.43,0.101,2.827,1.131,250,2.25,66.02,0.148,0.9125
539,20210929,59485.80048,412.55,7.88,52.15,0.411,11.5,4.602,200,7.2,136.41,0.983,4.832
540,20210929,59485.80055,412.55,4.19,18.4,0.077,2.155,0.8621,250,3.57,29.11,0.104,0.6382
541,20210929,59485.80055,412.55,7.7,172.83,1.33,37.23,14.89,350,7.4,234.09,1.733,14.91
542,20210929,59485.80055,412.55,5.01,63.69,0.319,8.929,3.572,200,4.59,164.02,0.753,3.704
543,20210929,59485.80068,412.55,4.58,31.64,0.145,4.059,1.623,500,3.96,31.71,0.126,1.545
544,20210929,59485.8007,412.55,9.89,29.73,0.294,8.229,3.292,300,7.2,45.57,0.328,2.418
545,20210929,59485.80083,412.55,4.48,22.33,0.1,2.799,1.12,350,3.54,30.87,0.109,0.9405
546,20210929,59485.80102,412.55,7.24,90.99,0.659,18.44,7.378,400,6.84,115.96,0.793,7.801
547,20210929,59485.80102,412.55,5.86,24.73,0.145,4.059,1.623,350,5.39,26.52,0.143,1.23
548,20210929,59485.80102,412.55,6.42,129.73,0.833,23.32,9.326,250,5.83,319.03,1.86,11.43
549,20210929,59485.80102,412.55,6.78,87.35,0.592,16.57,6.628,250,6.35,204.56,1.299,7.983
550,20210929,59485.80107,412.55,7.35,321.3,2.361,66.08,26.43,350,5.73,846.86,4.85,41.73
551,20210929,59485.80107,412.55,10.99,49.58,0.545,15.25,6.102,200,9.67,189.88,1.837,9.033
552,20210929,59485.80107,412.55,10,69.53,0.695,19.45,7.781,200,8.75,212.59,1.861,9.15
553,20210929,59485.80107,412.55,5.24,211.57,1.109,31.04,12.42,200,4.75,637.59,3.026,14.88
554,20210929,59485.80107,412.55,6.09,31.99,0.195,5.458,2.183,150,6.17,112.45,0.694,2.559
555,20210929,59485.80123,412.55,12.03,321.85,3.871,108.4,43.34,500,10.95,322.12,3.528,43.37
556,20210929,59485.80124,412.55,2.89,43.3,0.125,3.499,1.4,400,2.44,48.53,0.118,1.164
557,20210929,59485.80126,412.55,6.4,30.48,0.195,5.458,2.183,350,5.5,45.03,0.248,2.132
558,20210929,59485.80126,412.55,11.62,74.37,0.864,24.18,9.673,300,8.83,166.76,1.472,10.86
559,20210929,59485.80126,412.55,5.27,22.94,0.121,3.387,1.355,200,4.44,65.79,0.292,1.435
560,20210929,59485.80129,412.55,4.06,30.07,0.122,3.415,1.366,300,3.32,57.29,0.19,1.402
561,20210929,59485.80147,412.55,5.62,7.65,0.043,1.204,0.4814,300,4.14,16.07,0.066,0.4904
562,20210929,59485.80166,412.55,3.91,447.56,1.748,48.93,19.57,300,2.58,537.89,1.387,10.23
563,20210929,59485.80168,412.55,2.78,16.16,0.045,1.26,0.5038,250,2.66,16.8,0.045,0.2743
564,20210929,59485.80168,412.55,3,11.99,0.036,1.008,0.4031,150,3.35,36.43,0.122,0.4501
565,20210929,59485.80168,412.55,4,95.26,0.381,10.66,4.266,400,3.65,113.67,0.414,4.075
566,20210929,59485.80168,412.55,1.73,6.36,0.011,0.3079,0.1232,100,1.04,16.59,0.017,0.04254
567,20210929,59485.80168,412.55,5.61,12.47,0.07,1.959,0.7837,200,4.5,24.88,0.112,0.5508
568,20210929,59485.80176,412.55,6.45,167.27,1.079,30.2,12.08,250,5.85,398.31,2.329,14.31
569,20210929,59485.80191,412.55,3.19,354.01,1.129,31.6,12.64,500,2.88,353.44,1.017,12.51
570,20210929,59485.80191,412.55,4.74,417.93,1.981,55.45,22.18,450,4.33,446.8,1.933,21.38
571,20210929,59485.80197,412.55,4,88.5,0.354,9.909,3.963,250,3.86,207.81,0.802,4.932
572,20210929,59485.80202,412.55,7.78,41.89,0.326,9.125,3.65,300,6.42,66.36,0.426,3.142
573,20210929,59485.80202,412.55,7.65,11.9,0.091,2.547,1.019,200,4.76,30.83,0.147,0.721
574,20210929,59485.80211,412.55,11.91,111.27,1.325,37.09,14.83,450,6.12,190.19,1.164,12.88
575,20210929,59485.80214,412.55,6.62,14.66,0.097,2.715,1.086,100,5.34,77.94,0.416,1.023
576,20210929,59485.80236,412.55,10.29,238.77,2.457,68.77,27.51,500,6.9,238.92,1.648,20.25
577,20210929,59485.80236,412.55,4.31,34.34,0.148,4.142,1.657,200,3.98,83.22,0.332,1.63
578,20210929,59485.80239,412.55,13.64,368.74,5.03,140.8,56.32,500,12.05,368.39,4.439,54.56
579,20210929,59485.80252,412.55,3.65,41.59,0.152,4.254,1.702,400,3.29,51.26,0.168,1.657
580,20210929,59485.80254,412.55,6.24,52.26,0.326,9.125,3.65,400,5.66,56.95,0.322,3.171
581,20210929,59485.80267,412.55,12.63,299.02,3.778,105.7,42.3,400,10.34,381.13,3.941,38.76
582,20210929,59485.80267,412.55,4.59,74.74,0.343,9.601,3.84,300,4.13,122.76,0.507,3.74
583,20210929,59485.80268,412.55,2.47,36.8,0.091,2.547,1.019,350,2.27,48.07,0.109,0.9405
584,20210929,59485.80277,412.55,3.16,83.19,0.263,7.361,2.944,450,2.86,88.36,0.252,2.791
585,20210929,59485.80277,412.55,5.61,15.34,0.086,2.407,0.9629,200,4.52,42.13,0.19,0.936
586,20210929,59485.80277,412.55,5.53,27.11,0.15,4.198,1.679,200,5.76,61.95,0.357,1.756
587,20210929,59485.80277,412.55,5.54,68.09,0.377,10.55,4.221,200,5.12,172.24,0.882,4.335
588,20210929,59485.8028,412.55,3.79,35.06,0.133,3.723,1.489,250,3.72,73.43,0.273,1.679
589,20210929,59485.8029,412.55,3.74,71.67,0.268,7.501,3,200,3.57,170.95,0.61,3
590,20210929,59485.80327,412.55,3.74,104.78,0.392,10.97,4.389,300,3.58,212.5,0.761,5.609
591,20210929,59485.80327,412.55,3.88,11.61,0.045,1.26,0.5038,100,3.32,38.96,0.129,0.318
592,20210929,59485.80327,412.55,4.84,11.37,0.055,1.539,0.6158,200,5,26.07,0.13,0.6404
593,20210929,59485.80351,412.55,4.35,17.95,0.078,2.183,0.8733,100,3.36,89.52,0.301,0.7389
594,20210929,59485.8037,412.55,7.53,165.36,1.245,34.85,13.94,300,6.73,337.33,2.271,16.75
595,20210929,59485.80389,412.55,3.99,25.31,0.101,2.827,1.131,150,3.75,77.72,0.291,1.074
596,20210929,59485.80391,412.55,7.58,27.95,0.212,5.934,2.374,350,5.87,39.51,0.232,1.996
597,20210929,59485.804,412.55,3.1,27.38,0.085,2.379,0.9517,200,2.53,53.31,0.135,0.6628
598,20210929,59485.80408,412.55,2.88,132.08,0.38,10.64,4.254,400,2.6,155.04,0.403,3.959
599,20210929,59485.80409,412.55,3.49,581.97,2.031,56.85,22.74,500,3.17,581.96,1.844,22.67
600,20210929,59485.80414,412.55,4.13,29.09,0.12,3.359,1.344,350,3.75,39.34,0.148,1.27
601,20210929,59485.80414,412.55,9.18,35.74,0.328,9.181,3.672,200,9.41,84.72,0.797,3.919
602,20210929,59485.80415,412.55,4.78,86.91,0.415,11.62,4.646,500,4.31,87.02,0.375,4.613
603,20210929,59485.80415,412.55,5.73,88.52,0.507,14.19,5.676,500,5.23,88.7,0.464,5.699
604,20210929,59485.80428,412.55,7.43,145.36,1.08,30.23,12.09,400,6.94,177.02,1.229,12.08
605,20210929,59485.80428,412.55,8.5,18.47,0.157,4.394,1.758,300,7.04,29.58,0.208,1.536
606,20210929,59485.80428,412.55,6.47,126.21,0.817,22.87,9.147,400,5.92,163.74,0.969,9.53
607,20210929,59485.80439,412.55,7.19,112.41,0.808,22.62,9.046,400,6.51,149.09,0.971,9.548
608,20210929,59485.8044,412.55,3.69,30.11,0.111,3.107,1.243,300,3.3,58.23,0.192,1.417
609,20210929,59485.80449,412.55,6.53,80.49,0.526,14.72,5.889,450,6,86.86,0.521,5.764
610,20210929,59485.80449,412.55,7.53,26.17,0.197,5.514,2.206,200,7.14,66.54,0.475,2.338
611,20210929,59485.80463,412.55,8.51,67.67,0.576,16.12,6.449,300,7.33,111.13,0.815,6.01
612,20210929,59485.80475,412.55,6.84,400.21,2.739,76.66,30.67,500,6.21,400.46,2.488,30.59
613,20210929,59485.80485,412.55,2.91,41.89,0.122,3.415,1.366,400,2.55,52.4,0.134,1.317
614,20210929,59485.80485,412.55,8.67,103.14,0.894,25.02,10.01,450,5.89,171.38,1.009,11.17
615,20210929,59485.80485,412.55,6.35,82.89,0.526,14.72,5.889,350,4.31,161.37,0.696,5.988
616,20210929,59485.80485,412.55,4.36,32.56,0.142,3.975,1.59,200,4.15,84,0.349,1.715
617,20210929,59485.80485,412.55,5.27,16.31,0.086,2.407,0.9629,100,5.3,70.25,0.373,0.9158
618,20210929,59485.80502,412.55,7.38,101.5,0.749,20.96,8.386,400,6.77,152.57,1.033,10.16
619,20210929,59485.80516,412.55,4.07,206.43,0.84,23.51,9.405,400,3.72,267.68,0.995,9.781
620,20210929,59485.80528,412.55,4.07,22.62,0.092,2.575,1.03,200,4.8,48.16,0.231,1.138
621,20210929,59485.80528,412.55,5.36,91.01,0.488,13.66,5.464,300,4.92,145.27,0.715,5.276
622,20210929,59485.80528,412.55,4.13,37.26,0.154,4.31,1.724,350,3.63,46.7,0.169,1.458
623,20210929,59485.8055,412.55,5.49,98.19,0.539,15.09,6.035,500,5.01,97.92,0.491,6.035
624,20210929,59485.80566,412.55,7.21,129.01,0.93,26.03,10.41,300,6.68,258.39,1.725,12.72
625,20210929,59485.80566,412.55,8.02,60.94,0.489,13.69,5.475,150,7.52,186.29,1.402,5.169
626,20210929,59485.80593,412.55,2.91,49.16,0.143,4.003,1.601,200,2.91,123.54,0.36,1.769
627,20210929,59485.80593,412.55,7.28,29.12,0.212,5.934,2.374,300,3.55,75.22,0.267,1.968
628,20210929,59485.80603,412.55,7.35,127.16,0.934,26.14,10.46,400,7,167.28,1.171,11.52
629,20210929,59485.80604,412.55,2.01,22.88,0.046,1.288,0.515,250,2.21,41.67,0.092,0.5654
630,20210929,59485.80626,412.55,2.79,220.64,0.616,17.24,6.897,450,2.52,235.65,0.595,6.58
631,20210929,59485.80626,412.55,2.91,19.27,0.056,1.567,0.627,350,2.7,27.36,0.074,0.6348
632,20210929,59485.80626,412.55,15.18,219.29,3.328,93.15,37.26,350,13.22,356.38,4.712,40.54
633,20210929,59485.80673,412.55,3.27,26.63,0.087,2.435,0.9741,200,2.98,61.2,0.182,0.8957
634,20210929,59485.80679,412.55,2.82,28.75,0.081,2.267,0.9069,200,2.79,59.12,0.165,0.8106
635,20210929,59485.80684,412.55,5.57,37.34,0.208,5.822,2.329,300,5.47,63.61,0.348,2.566
636,20210929,59485.80688,412.55,8.9,89.84,0.8,22.39,8.957,300,7.18,170.1,1.221,9.006
637,20210929,59485.80689,412.55,5.06,14.63,0.074,2.071,0.8285,150,4.13,25.35,0.105,0.3863
638,20210929,59485.8069,412.55,5.71,52.06,0.297,8.313,3.325,300,5.2,73.84,0.384,2.835
639,20210929,59485.80694,412.55,6.37,110.23,0.702,19.65,7.86,500,5.77,110.16,0.636,7.815
640,20210929,59485.80694,412.55,4.86,46.72,0.227,6.354,2.542,250,4.57,101.94,0.465,2.861
641,20210929,59485.80695,412.55,5.06,23.5,0.119,3.331,1.332,300,4.6,49.73,0.229,1.686
642,20210929,59485.80695,412.55,2.53,16.59,0.042,1.176,0.4702,150,2.49,23.74,0.059,0.2183
643,20210929,59485.80697,412.55,5.41,87.91,0.476,13.32,5.329,350,3.34,170.84,0.57,4.903
644,20210929,59485.8071,412.55,1.89,6.89,0.013,0.3639,0.1456,50,4.74,50.75,0.24,0.2956
645,20210929,59485.80711,412.55,1.05,7.59,0.008,0.2239,0.08957,200,2,13.68,0.027,0.1344
646,20210929,59485.80711,412.55,3.23,38.66,0.125,3.499,1.4,250,3.49,83.05,0.29,1.78
647,20210929,59485.80711,412.55,4.7,24.04,0.113,3.163,1.265,200,5.07,55.86,0.283,1.393
648,20210929,59485.80717,412.55,3.51,15.1,0.053,1.483,0.5934,100,4.06,59.72,0.242,0.5956
649,20210929,59485.80738,412.55,4.39,200.34,0.88,24.63,9.853,250,4.12,468.35,1.928,11.85
650,20210929,59485.8074,412.55,5.23,15.28,0.08,2.239,0.8957,350,5.65,17.08,0.097,0.8308
651,20210929,59485.8074,412.55,3.25,12.02,0.039,1.092,0.4366,250,2.49,31.8,0.079,0.487
652,20210929,59485.80741,412.55,3.69,19.76,0.073,2.043,0.8173,250,3.59,38.06,0.137,0.8397
653,20210929,59485.80751,412.55,5.01,226.24,1.133,31.71,12.68,400,4.6,298.26,1.372,13.49
654,20210929,59485.80751,412.55,2.72,11.01,0.03,0.8397,0.3359,100,2.14,30.7,0.066,0.1612
655,20210929,59485.80751,412.55,3.16,61.42,0.194,5.43,2.172,200,3.03,159.07,0.483,2.374
656,20210929,59485.8076,412.55,2.04,132.43,0.27,7.557,3.023,500,1.89,132.67,0.25,3.079
657,20210929,59485.8076,412.55,4.68,223.93,1.048,29.33,11.73,500,4.34,224.08,0.972,11.95
658,20210929,59485.80764,412.55,2.89,59.81,0.173,4.842,1.937,200,2.86,139.72,0.4,1.966
659,20210929,59485.8077,412.55,6.62,172.98,1.145,32.05,12.82,350,6.09,288.54,1.758,15.13
660,20210929,59485.8077,412.55,5.14,6.81,0.035,0.9797,0.3919,50,7.07,44.41,0.314,0.3863
661,20210929,59485.80779,412.55,6.91,40.94,0.283,7.921,3.168,200,6.4,109.2,0.699,3.435
662,20210929,59485.80791,412.55,4.5,17.35,0.078,2.183,0.8733,150,3.82,49.56,0.189,0.6986
663,20210929,59485.80791,412.55,4.77,52.61,0.251,7.026,2.81,150,4.33,159.2,0.689,2.539
664,20210929,59485.80798,412.55,2.97,22.86,0.068,1.903,0.7613,200,2.48,53.54,0.133,0.6538
665,20210929,59485.808,412.55,2.15,180.62,0.388,10.86,4.344,350,1.9,259.21,0.494,4.248
666,20210929,59485.808,412.55,2.49,43.82,0.109,3.051,1.22,300,2.38,73.63,0.175,1.29
667,20210929,59485.808,412.55,3.82,48.18,0.184,5.15,2.06,350,3.27,71.48,0.234,2.014
668,20210929,59485.80806,412.55,5.8,109.19,0.633,17.72,7.087,450,5.31,120.41,0.639,7.074
669,20210929,59485.80809,412.55,3.53,11.9,0.042,1.176,0.4702,200,3.4,20.65,0.07,0.3448
670,20210929,59485.80809,412.55,8.85,329.3,2.914,81.56,32.62,500,8.02,329.11,2.64,32.46
671,20210929,59485.8081,412.55,4.03,208.21,0.839,23.48,9.394,400,3.62,245.1,0.886,8.715
672,20210929,59485.80823,412.55,3.32,294.59,0.978,27.37,10.95,450,3,313.26,0.939,10.39
673,20210929,59485.80823,412.55,6.17,286.27,1.766,49.43,19.77,300,5.6,462.24,2.588,19.08
674,20210929,59485.80823,412.55,11.67,184.83,2.157,60.38,24.15,400,9.12,289.05,2.635,25.92
675,20210929,59485.80834,412.55,4.11,18.25,0.075,2.099,0.8397,200,4.06,41,0.167,0.8196
676,20210929,59485.80835,412.55,11.61,125.21,1.454,40.7,16.28,500,10.73,125.19,1.343,16.51
677,20210929,59485.80836,412.55,3.9,380.9,1.485,41.56,16.63,400,3.56,501.78,1.787,17.57
678,20210929,59485.80836,412.55,6.7,260.23,1.743,48.79,19.51,350,5.23,404.8,2.116,18.2
679,20210929,59485.80836,412.55,6.19,114.42,0.708,19.82,7.927,400,5.65,146.5,0.827,8.133
680,20210929,59485.80853,412.55,4.99,19.66,0.098,2.743,1.097,200,4.62,49.26,0.228,1.12
681,20210929,59485.8086,412.55,3.46,25.43,0.088,2.463,0.9853,200,3.17,58.04,0.184,0.9046
682,20210929,59485.80869,412.55,5.94,18.36,0.109,3.051,1.22,100,4.85,57.78,0.281,0.6897
683,20210929,59485.80869,412.55,5.14,408.18,2.097,58.7,23.48,500,3.65,502.26,1.833,22.53
684,20210929,59485.80869,412.55,4.12,41.76,0.172,4.814,1.926,350,3.74,58.13,0.218,1.873
685,20210929,59485.80872,412.55,3.36,13.38,0.045,1.26,0.5038,200,2.87,23.2,0.066,0.3269
686,20210929,59485.80872,412.55,4.59,35.48,0.163,4.562,1.825,350,4.2,50.36,0.211,1.818
687,20210929,59485.80872,412.55,5.33,59.64,0.318,8.901,3.56,350,4.86,82.04,0.399,3.432
688,20210929,59485.80872,412.55,11.3,12.48,0.141,3.947,1.579,100,13.24,43.96,0.582,1.431
689,20210929,59485.8089,412.55,7.4,23.79,0.176,4.926,1.97,250,6.63,45.08,0.299,1.837
690,20210929,59485.80898,412.55,5.46,31.12,0.17,4.758,1.903,200,5.14,83.79,0.431,2.118
691,20210929,59485.80906,412.55,13.71,411.05,5.636,157.8,63.1,500,12.54,411.16,5.154,63.36
692,20210929,59485.80913,412.55,7.49,214.6,1.608,45.01,18,350,6.36,358.34,2.28,19.62
693,20210929,59485.80916,412.55,2.63,25.11,0.066,1.847,0.7389,300,2.53,38.53,0.097,0.7188
694,20210929,59485.80917,412.55,9.3,40.95,0.381,10.66,4.266,250,8.43,96.82,0.817,5.019
695,20210929,59485.80923,412.55,8.91,105.19,0.937,26.23,10.49,500,8.24,105.22,0.867,10.66
696,20210929,59485.80923,412.55,7.9,153.16,1.21,33.87,13.55,250,7.08,369.4,2.614,16.07
697,20210929,59485.8093,412.55,11.69,142.96,1.671,46.77,18.71,450,10.49,158.97,1.668,18.45
698,20210929,59485.8095,412.55,8.3,189.69,1.574,44.06,17.62,450,5,315.42,1.576,17.44
699,20210929,59485.80963,412.55,4.15,33.27,0.138,3.863,1.545,350,3.58,44.26,0.158,1.364
700,20210929,59485.80971,412.55,3.7,142.03,0.526,14.72,5.889,500,3.31,142.3,0.471,5.788
701,20210929,59485.80971,412.55,3.15,73.6,0.232,6.494,2.598,250,2.71,170.94,0.463,2.844
702,20210929,59485.80975,412.55,5.23,123.01,0.643,18,7.199,200,4.74,310.19,1.469,7.224
703,20210929,59485.81,412.55,6.77,190.86,1.292,36.16,14.46,500,6.07,190.57,1.156,14.21
704,20210929,59485.81029,412.55,2.82,10.29,0.029,0.8117,0.3247,50,3.93,34.29,0.135,0.1657
705,20210929,59485.81029,412.55,4.62,119.79,0.553,15.48,6.191,300,4.23,247.17,1.046,7.719
706,20210929,59485.81032,412.55,5.05,38.99,0.197,5.514,2.206,350,4.73,62.37,0.295,2.539
707,20210929,59485.81033,412.55,10.91,318.54,3.474,97.24,38.9,500,10.11,318.3,3.219,39.57
708,20210929,59485.81035,412.55,7.84,61.57,0.483,13.52,5.408,450,6.2,65.8,0.408,4.516
709,20210929,59485.81049,412.55,3.86,247.47,0.955,26.73,10.69,500,3.57,247.6,0.884,10.87
710,20210929,59485.8106,412.55,4.16,18.98,0.079,2.211,0.8845,200,4.18,41.79,0.175,0.8599
711,20210929,59485.81064,412.55,5.64,12.76,0.072,2.015,0.8061,150,6.32,31.85,0.201,0.7423
712,20210929,59485.81101,412.55,3.22,10.57,0.034,0.9517,0.3807,100,3.55,44.42,0.158,0.3874
713,20210929,59485.81101,412.55,4.63,450.79,2.087,58.42,23.37,400,4.25,612.83,2.607,25.63
714,20210929,59485.81101,412.55,3.76,40.94,0.154,4.31,1.724,200,3.55,108.12,0.383,1.885
715,20210929,59485.8111,412.55,3.33,19.54,0.065,1.819,0.7278,400,3.21,19.04,0.061,0.6001
716,20210929,59485.8111,412.55,8.6,391.44,3.368,94.27,37.71,500,7.75,391.43,3.033,37.28
717,20210929,59485.81112,412.55,13.81,222.5,3.072,85.99,34.39,500,11.59,249.63,2.893,35.56
